manufacturer,series_code,product_name,tool_type,model_family,outside_diameter_mm,corner_radius_label,effective_length_mm,work_material,hardness,material_group,spindle_rpm,feed_rate_mm_min,axial_depth_mm,radial_depth_mm,source_url,source_page,memo
UNION TOOL,CLRS,UTCOAT 2 Flute Long Neck Radius End Mills CLRS,RADIUS,2010,1.0,R,3.0,C1100/A5052/A7075,,Copper / aluminum alloys,18000,180.0,1.5,0.02,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_clrs.pdf,13,"PDF checked. Z-Level Milling Conditions for CLRS."
UNION TOOL,CLRS,UTCOAT 2 Flute Long Neck Radius End Mills CLRS,RADIUS,2020,2.0,R,6.0,C1100/A5052/A7075,,Copper / aluminum alloys,17000,340.0,3.0,0.2,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_clrs.pdf,14,"PDF checked. Side Milling Conditions for CLRS."
UNION TOOL,CLRS,UTCOAT 2 Flute Long Neck Radius End Mills CLRS,RADIUS,2060,6.0,R,18.0,S50C/SCM/SUS/PXA30/NAK/Ti-6Al-4V,~40HRC,Carbon / alloy / prehardened / titanium alloys,4100,230.0,18.0,0.02,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_clrs.pdf,15,"PDF checked. Finishing conditions for CLRS."
UNION TOOL,HGS,HMGCOAT 6 Flute Square End Mills for Hard Materials HGS,SQUARE,6020,2.0,-,6.0,SKD11,55~62HRC,Hardened steels,6100,810.0,3.0,0.04,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_hgs.pdf,6,"PDF checked. Milling Conditions for HGS."
UNION TOOL,HGS,HMGCOAT 6 Flute Square End Mills for Hard Materials HGS,SQUARE,6020,2.0,-,6.0,HAP10,62~66HRC,Hardened steels,6000,540.0,3.0,0.04,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_hgs.pdf,6,"PDF checked. Milling Conditions for HGS."
UNION TOOL,HGS,HMGCOAT 6 Flute Square End Mills for Hard Materials HGS,SQUARE,6020,2.0,-,6.0,HAP72,66~70HRC,Hardened steels,5300,460.0,3.0,0.04,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_hgs.pdf,6,"PDF checked. Milling Conditions for HGS."
UNION TOOL,HGS,HMGCOAT 6 Flute Square End Mills for Hard Materials HGS,SQUARE,6060,6.0,-,18.0,SKD11,55~62HRC,Hardened steels,2150,230.0,18.0,0.02,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_hgs.pdf,7,"PDF checked. Finishing Conditions for HGS."
UNION TOOL,DLCES2000,DLCCOAT 2 Flute Square End Mills for Copper Electrode Milling DLCES2000,SQUARE,2010,1.0,-,3.0,COPPER/ALUMINUM ALLOYS,,Copper / aluminum alloys,18000,180.0,1.5,0.02,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_dlces2000-4000.pdf,3,"PDF checked. Slotting/Side Milling Conditions for DLCES2000."
UNION TOOL,DLCES2000,DLCCOAT 2 Flute Square End Mills for Copper Electrode Milling DLCES2000,SQUARE,2060,6.0,-,18.0,COPPER/ALUMINUM ALLOYS,,Copper / aluminum alloys,8000,800.0,9.0,0.6,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_dlces2000-4000.pdf,3,"PDF checked. Slotting/Side Milling Conditions for DLCES2000."
UNION TOOL,DLCES4000,DLCCOAT 4 Flute Square End Mills for Copper Electrode Milling DLCES4000,SQUARE,4030,3.0,-,9.0,COPPER/ALUMINUM ALLOYS,,Copper / aluminum alloys,10000,780.0,4.5,0.3,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_dlces2000-4000.pdf,5,"PDF checked. Side Milling Conditions for DLCES4000."
UNION TOOL,DLCES4000,DLCCOAT 4 Flute Square End Mills for Copper Electrode Milling DLCES4000,SQUARE,4060,6.0,-,18.0,TUNGSTEN COPPER,,Tungsten copper,5000,880.0,4.5,0.6,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_dlces2000-4000.pdf,5,"PDF checked. Side Milling Conditions for DLCES4000."
UNION TOOL,DLC-ALES,DLCCOAT 3 Flute Square End Mills for Aluminum Milling DLC-ALES,SQUARE,3010,1.0,-,3.0,A5052/A7075,,Aluminum alloys,26000,420.0,3.0,0.1,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_dlc-ales.pdf,5,"PDF checked. Side Milling Conditions for DLC-ALES."
UNION TOOL,DLC-ALES,DLCCOAT 3 Flute Square End Mills for Aluminum Milling DLC-ALES,SQUARE,3060,6.0,-,18.0,A5052/A7075,,Aluminum alloys,19500,1800.0,18.0,0.6,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_dlc-ales.pdf,5,"PDF checked. Side Milling Conditions for DLC-ALES."
UNION TOOL,DLC-ALES,DLCCOAT 3 Flute Square End Mills for Aluminum Milling DLC-ALES,SQUARE,3120,12.0,-,36.0,A5052/A7075,,Aluminum alloys,9700,2000.0,36.0,1.2,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_dlc-ales.pdf,5,"PDF checked. Side Milling Conditions for DLC-ALES."
UNION TOOL,CEHS,UTCOAT 4 Flute Highly Efficient Square End Mills CEHS,SQUARE,4020,2.0,-,6.0,S45C/S50C,~225HB,Carbon steels annealed,12200,910.0,6.0,0.2,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_cehs.pdf,6,"PDF checked. Side Milling Conditions for CEHS."
UNION TOOL,CEHS,UTCOAT 4 Flute Highly Efficient Square End Mills CEHS,SQUARE,4020,2.0,-,6.0,SK/SCM,225~325HB,Alloy steels annealed,12200,690.0,6.0,0.2,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_cehs.pdf,6,"PDF checked. Side Milling Conditions for CEHS."
UNION TOOL,CEHS,UTCOAT 4 Flute Highly Efficient Square End Mills CEHS,SQUARE,4020,2.0,-,6.0,SUS304,,Stainless steels,12200,410.0,6.0,0.1,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_cehs.pdf,6,"PDF checked. Side Milling Conditions for CEHS."
UNION TOOL,CEHS,UTCOAT 4 Flute Highly Efficient Square End Mills CEHS,SQUARE,4060,6.0,-,18.0,SUS304,,Stainless steels,5000,660.0,18.0,0.6,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_cehs.pdf,6,"PDF checked. Side Milling Conditions for CEHS."
UNION TOOL,UDCRRS,6/10 Flute Long Neck Radius End Mills for Roughing Cemented Carbide and Hard Brittle Materials UDCRRS,RADIUS,6010,1.0,R0.05,2.5,CEMENTED CARBIDE,>=87HRA,Cemented carbide,30000,280.0,0.75,0.025,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_udcrrs.pdf,4,"PDF checked. Side Milling Conditions for UDCRRS."
UNION TOOL,UDCRRS,6/10 Flute Long Neck Radius End Mills for Roughing Cemented Carbide and Hard Brittle Materials UDCRRS,RADIUS,6015,1.5,R0.1,3.5,CEMENTED CARBIDE,>=87HRA,Cemented carbide,23400,330.0,1.125,0.05,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_udcrrs.pdf,4,"PDF checked. Side Milling Conditions for UDCRRS."
UNION TOOL,CBN-LRF,CBN-LRF 4 Flute High Grade Long Neck Radius End Mills,RADIUS,4010,1.0,R0.1,2.0,STAVAX,~52HRC,Heat-treated / hardened steels,40000,2600.0,0.03,0.35,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_cbn-lrf4000.pdf,3,"PDF checked. Milling Conditions for CBN-LRF."
UNION TOOL,CBN-LRF,CBN-LRF 4 Flute High Grade Long Neck Radius End Mills,RADIUS,4010,1.0,R0.1,2.0,SKD11,~62HRC,Hardened steels,37000,2000.0,0.03,0.3,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_cbn-lrf4000.pdf,3,"PDF checked. Milling Conditions for CBN-LRF."
UNION TOOL,CBN-LRF,CBN-LRF 4 Flute High Grade Long Neck Radius End Mills,RADIUS,4010,1.0,R0.1,2.0,HAP10/HAP72,~70HRC,Hardened steels,34000,1400.0,0.015,0.2,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_cbn-lrf4000.pdf,3,"PDF checked. Milling Conditions for CBN-LRF."
UNION TOOL,HGRRS,HMGCOAT 5/6 Flute Highly Efficient Long Neck Radius End Mills for Hard Materials HGRRS,RADIUS,5020,2.0,R0.5,6.0,NAK/STAVAX,~55HRC,Prehardened / hardened steels,10000,2700.0,0.07,0.8,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_em_hgrrs_2023_04.pdf,4,"PDF checked. Milling Conditions for HGRRS."
UNION TOOL,HGRRS,HMGCOAT 5/6 Flute Highly Efficient Long Neck Radius End Mills for Hard Materials HGRRS,RADIUS,5020,2.0,R0.5,6.0,SKD11,55~62HRC,Hardened steels,8000,2000.0,0.05,0.8,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_em_hgrrs_2023_04.pdf,4,"PDF checked. Milling Conditions for HGRRS."
UNION TOOL,HGRRS,HMGCOAT 5/6 Flute Highly Efficient Long Neck Radius End Mills for Hard Materials HGRRS,RADIUS,6060,6.0,R0.5,18.0,HAP10,62~66HRC,Hardened steels,1100,1760.0,0.08,1.9,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_em_hgrrs_2023_04.pdf,4,"PDF checked. Milling Conditions for HGRRS."
UNION TOOL,HGRRS,HMGCOAT 5/6 Flute Highly Efficient Long Neck Radius End Mills for Hard Materials HGRRS,RADIUS,6060,6.0,R0.5,18.0,HAP72,66~70HRC,Hardened steels,1000,1600.0,0.08,1.7,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_em_hgrrs_2023_04.pdf,4,"PDF checked. Milling Conditions for HGRRS."
